Date,Close,Close,Close,Close
02.01.2019 16:00:00,"39,48","2510,03","23,22","121,33"
03.01.2019 16:00:00,"35,55","2447,89","25,45","122,43"
04.01.2019 16:00:00,"37,07","2531,94","21,38","121,44"
07.01.2019 16:00:00,"36,98","2549,69","21,4","121,86"
08.01.2019 16:00:00,"37,69","2574,41","20,47","121,53"
09.01.2019 16:00:00,"38,33","2584,96","19,98","122,31"
10.01.2019 16:00:00,"38,45","2596,64","19,5","121,59"
11.01.2019 16:00:00,"38,07","2596,26","18,19","121,8"
14.01.2019 16:00:00,"37,5","2582,61","19,07","122,09"
15.01.2019 16:00:00,"38,27","2610,3","18,6","121,88"
16.01.2019 16:00:00,"38,74","2616,1","19,04","122,27"
17.01.2019 16:00:00,"38,97","2635,96","18,06","122,11"
18.01.2019 16:00:00,"39,21","2670,71","17,8","121,02"
22.01.2019 16:00:00,"38,33","2632,9","20,8","121,45"
23.01.2019 16:00:00,"38,48","2638,7","19,52","121,28"
24.01.2019 16:00:00,"38,17","2642,33","18,89","121,09"
25.01.2019 16:00:00,"39,44","2664,76","17,42","122,86"
28.01.2019 16:00:00,"39,08","2643,85","18,87","123,29"
29.01.2019 16:00:00,"38,67",2640,"19,13","123,98"
30.01.2019 16:00:00,"41,31","2681,05","17,66","124,69"
31.01.2019 16:00:00,"41,61","2704,1","16,57","124,75"
01.02.2019 16:00:00,"41,63","2706,53","16,14","124,5"
04.02.2019 16:00:00,"42,81","2724,87","15,73","123,96"
05.02.2019 16:00:00,"43,55","2737,7","15,57","124,28"
06.02.2019 16:00:00,"43,56","2731,61","15,38","123,44"
07.02.2019 16:00:00,"42,74","2706,05","16,37","123,74"
08.02.2019 16:00:00,"42,6","2707,88","15,72","124,21"
11.02.2019 16:00:00,"42,36","2709,8","15,97","123,6"
12.02.2019 16:00:00,"42,72","2744,73","15,43","123,86"
13.02.2019 16:00:00,"42,55","2753,03","15,65","123,37"
14.02.2019 16:00:00,"42,7","2745,73","16,22","124,06"
15.02.2019 16:00:00,"42,61","2775,6","14,91","124,8"
19.02.2019 16:00:00,"42,73","2779,76","14,88","126,7"
20.02.2019 16:00:00,"43,01","2784,7","14,02","126,48"
21.02.2019 16:00:00,"42,77","2774,88","14,46","125,05"
22.02.2019 16:00:00,"43,24","2792,67","13,51","125,5"
25.02.2019 16:00:00,"43,56","2796,11","14,85","125,37"
26.02.2019 16:00:00,"43,58","2793,9","15,17","125,58"
27.02.2019 16:00:00,"43,72","2792,38","14,7","124,69"
28.02.2019 16:00:00,"43,29","2784,49","14,78","123,99"
01.03.2019 16:00:00,"43,74","2803,69","13,57","121,88"
04.03.2019 16:00:00,"43,96","2792,81","14,63","121,56"
05.03.2019 16:00:00,"43,88","2789,65","14,74","121,72"
06.03.2019 16:00:00,"43,63","2771,45","15,74","121,61"
07.03.2019 16:00:00,"43,13","2748,93","16,59","121,51"
08.03.2019 16:00:00,"43,23","2743,07","16,05","122,84"
11.03.2019 16:00:00,"44,73","2783,3","14,33","122,24"
12.03.2019 16:00:00,"45,23","2791,52","13,77","122,98"
13.03.2019 16:00:00,"45,43","2810,92","13,41","123,84"
14.03.2019 16:00:00,"45,93","2808,48","13,5","122,41"
15.03.2019 16:00:00,"46,53","2822,48","12,88","122,97"
18.03.2019 16:00:00,"47,01","2832,94","13,1","123,04"
19.03.2019 16:00:00,"46,63","2832,57","13,56","123,38"
20.03.2019 16:00:00,"47,04","2824,23","13,91","124,18"
21.03.2019 16:00:00,"48,77","2854,88","13,63","123,68"
22.03.2019 16:00:00,"47,76","2800,71","16,48","123,97"
25.03.2019 16:00:00,"47,19","2798,36","16,33","124,92"
26.03.2019 16:00:00,"46,7","2818,46","14,68","124,3"
27.03.2019 16:00:00,"47,12","2805,37","15,15","123,65"
28.03.2019 16:00:00,"47,18","2815,44","14,43","121,9"
29.03.2019 16:00:00,"47,49","2834,4","13,71","122,01"
01.04.2019 16:00:00,"47,81","2867,19","13,4","121,53"
02.04.2019 16:00:00,"48,51","2867,24","13,36","121,98"
03.04.2019 16:00:00,"48,84","2873,4","13,74","121,8"
04.04.2019 16:00:00,"48,92","2879,39","13,58","122,11"
05.04.2019 16:00:00,"49,25","2892,74","12,82","121,98"
08.04.2019 16:00:00,"50,03","2895,77","13,18","122,51"
09.04.2019 16:00:00,"49,88","2878,2","14,28","123,15"
10.04.2019 16:00:00,"50,16","2888,21","13,3","123,53"
11.04.2019 16:00:00,"49,74","2888,32","13,02","121,95"
12.04.2019 16:00:00,"49,72","2907,41","12,01","121,83"
15.04.2019 16:00:00,"49,81","2905,58","12,32","121,6"
16.04.2019 16:00:00,"49,81","2907,06","12,18","120,51"
17.04.2019 16:00:00,"50,78","2900,45","12,6","120,28"
18.04.2019 16:00:00,"50,97","2905,03","12,09","120,37"
22.04.2019 16:00:00,"51,13","2907,97","12,42","120,37"
23.04.2019 16:00:00,"51,87","2933,68","12,28","120,12"
24.04.2019 16:00:00,"51,79","2927,25","13,14","120,47"
25.04.2019 16:00:00,"51,32","2926,17","13,25","120,57"
